id,category,category_slug,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,points,time_limit,explanation,tags
cmr-0073,Cameroun,cameroun,challenge,Quelle chefferie traditionnelle de l'Ouest est celebre pour son musee et sa case a poteaux sculptes ?,La chefferie de Bafut,La chefferie de Rey Bouba,La chefferie de Bandjoun,Le palais de Foumban,C,300,30,La chefferie Bandjoun est un joyau du patrimoine Bamileke.,"cameroun,culture"
cmr-0074,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Nyong-et-So'o ?,Fundong,Mbalmayo,Sangmelima,Bafang,B,300,30,"Mbalmayo est le chef-lieu du Nyong-et-So'o, dans la region : Centre.","cameroun,geographie,departements"
cmr-0075,Cameroun,cameroun,moyen,Quelle personnalite camerounaise est connue pour etre un bassiste et chanteur de jazz reconnu mondialement ?,Richard Bona,Djaili Amadou Amal,Patrick Mboma,Nicolas Nkoulou,A,200,25,Il s'agit de Richard Bona.,"cameroun,personnalites"
cmr-0076,Cameroun,cameroun,facile,Sur quel ocean le Cameroun possede-t-il une facade maritime ?,L'ocean Atlantique,L'ocean Indien,La mer Rouge,L'ocean Pacifique,A,100,20,Le golfe de Guinee ouvre sur l'Atlantique.,"cameroun,geographie"
cmr-0077,Cameroun,cameroun,moyen,Dans quelle partie du Cameroun le mil et le sorgho est-il ou est-elle principalement cultive(e) ?,Le Grand Nord,Le Sud et l'Est,L'Ouest et le Nord-Ouest,Le Centre,A,200,25,Pour le mil et le sorgho : ce sont les cereales de base en zone sahelienne.,"cameroun,economie,agriculture"
cmr-0078,Cameroun,cameroun,challenge,En quelle annee le Cameroun a-t-il rejoint le Commonwealth ?,2000,1990,1995,1985,C,300,30,Le Cameroun est membre du Commonwealth depuis 1995.,"cameroun,histoire"
cmr-0079,Cameroun,cameroun,moyen,"Qui etait le secretaire general historique de l'UPC, tue en 1958 ?",Ruben Um Nyobe,Ahmadou Ahidjo,Ernest Ouandie,Felix-Roland Moumie,A,200,25,Ruben Um Nyobe est tombe le 13 septembre 1958.,"cameroun,histoire"
cmr-0080,Cameroun,cameroun,moyen,"Quel taux de TVA s'applique generalement au Cameroun, centimes additionnels compris ?",15 %,20 %,18 %,"19,25 %",D,200,25,"La TVA est de 17,5 % plus 10 % de centimes additionnels.","cameroun,economie"
cmr-0081,Cameroun,cameroun,moyen,Dans quelle region du Cameroun se trouve la ville de Djoum ?,Adamaoua,Sud,Est,Littoral,B,200,25,Djoum est situee dans la region : Sud.,"cameroun,geographie,villes"
cmr-0082,Cameroun,cameroun,facile,Quelle grande religion est majoritaire dans le Grand Nord du Cameroun ?,Le bouddhisme,L'hindouisme,Le shintoisme,L'islam,D,100,20,Le Nord est majoritairement musulman.,"cameroun,divers"
cmr-0083,Cameroun,cameroun,facile,Comment appelle-t-on le chef de l'Etat camerounais ?,Le president de la Republique,Le roi,Le chancelier,L'empereur,A,100,20,Le Cameroun est une republique.,"cameroun,culture-generale"
cmr-0084,Cameroun,cameroun,moyen,Dans quelle region du Cameroun se trouve la ville de Nkambe ?,Nord-Ouest,Centre,Adamaoua,Est,A,200,25,Nkambe est situee dans la region : Nord-Ouest.,"cameroun,geographie,villes"
cmr-0085,Cameroun,cameroun,facile,Quel jour de la semaine se tiennent traditionnellement les grands marches ruraux au Cameroun ?,"Cela varie selon les villages, souvent un jour fixe par semaine","Jamais, il n'y a pas de marches",Uniquement le 1er janvier,Uniquement le dimanche partout,A,100,20,Chaque localite a son jour de marche.,"cameroun,culture-generale"
cmr-0086,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Nde ?,Bangangte,Bafia,Yokadouma,Baham,A,300,30,"Bangangte est le chef-lieu du Nde, dans la region : Ouest.","cameroun,geographie,departements"
cmr-0087,Cameroun,cameroun,moyen,Dans quel secteur d'activite intervient la SNH ?,Les hydrocarbures,Le commerce en ligne,La logistique portuaire,L'investissement public,A,200,25,La SNH est la societe nationale qui gere les interets petroliers de l'Etat.,"cameroun,economie,entreprises"
cmr-0088,Cameroun,cameroun,facile,Quelle est la fete du Travail celebree au Cameroun ?,Le 20 mai,Le 1er octobre,Le 11 fevrier,Le 1er mai,D,100,20,Le 1er mai est ferie au Cameroun.,"cameroun,institutions,symboles"
cmr-0089,Cameroun,cameroun,facile,"Dans le langage populaire camerounais, que designe un kombi ?","Un ami proche, un complice","S'etonner, etre surpris","Un revendeur, souvent une commercante de vivres",Une formule de compassion ou d'encouragement,A,100,20,"Un kombi : un ami proche, un complice.","cameroun,culture,expressions"
cmr-0090,Cameroun,cameroun,moyen,Quelle est la part approximative de l'emploi informel dans l'economie camerounaise ?,Plus de 80 %,Environ 30 %,Environ 50 %,Environ 10 %,A,200,25,L'essentiel des emplois se situe dans l'informel.,"cameroun,economie"
cmr-0091,Cameroun,cameroun,moyen,Dans quelle region du Cameroun se trouve la ville de Soa ?,Nord-Ouest,Ouest,Centre,Sud,C,200,25,Soa est situee dans la region : Centre.,"cameroun,geographie,villes"
cmr-0092,Cameroun,cameroun,moyen,Dans quel domaine Longue Longue s'est-il ou s'est-elle illustre(e) ?,La lutte contre la colonisation,La musique,L'athletisme,Le football,B,200,25,Longue Longue est connu(e) pour chanter un makossa engage et populaire.,"cameroun,personnalites"
cmr-0093,Cameroun,cameroun,moyen,Quelle personnalite camerounaise est connue pour etre un rappeur pionnier du mouvement Mboko ?,Jovi,Martin-Paul Samba,Andre Onana,Christine Manie,A,200,25,Il s'agit de Jovi.,"cameroun,personnalites"
cmr-0094,Cameroun,cameroun,moyen,De quelle region du Cameroun le mbanga soup est-il originaire ou le plus consomme ?,Le Littoral,Le Sud,L'Adamaoua,Le Sud-Ouest,A,200,25,Le mbanga soup est surtout associe a cette region.,"cameroun,gastronomie"
cmr-0095,Cameroun,cameroun,challenge,Dans quel domaine Marie-Jose Ta Lou s'est-il ou s'est-elle illustre(e) ?,La mode,L'athletisme,La politique,Le football,B,300,30,"Marie-Jose Ta Lou est connu(e) pour etre une sprinteuse ivoirienne, et non camerounaise.","cameroun,personnalites"
cmr-0096,Cameroun,cameroun,challenge,Quelle personnalite camerounaise est connue pour avoir brille au Toulouse FC et au Betis Seville ?,Achille Emana,Manu Dibango,Paul Kammogne Fokam,Rene Philombe,A,300,30,Il s'agit de Achille Emana.,"cameroun,personnalites"
cmr-0097,Cameroun,cameroun,facile,Le Cameroun partage-t-il une frontiere terrestre avec la Guinee equatoriale ?,Oui,"Non, il en est separe par un autre pays","Non, il en est separe par un ocean","Non, ce pays n'existe pas en Afrique",A,100,20,La Guinee equatoriale est bien un voisin du Cameroun (au sud-ouest).,"cameroun,geographie,frontieres"
cmr-0098,Cameroun,cameroun,moyen,Quel numero appelle-t-on pour joindre la police au Cameroun ?,Le 117,Le 100,Le 15,Le 911,A,200,25,Le 117 est le numero de la police.,"cameroun,divers"
cmr-0099,Cameroun,cameroun,moyen,Dans quelle partie du Cameroun le poivre de Penja est-il ou est-elle principalement cultive(e) ?,L'Ouest et le Nord-Ouest,Le Grand Nord,Le Sud et l'Est,Le Littoral et le Sud-Ouest,D,200,25,Pour le poivre de Penja : il beneficie d'une indication geographique protegee.,"cameroun,economie,agriculture"
cmr-0100,Cameroun,cameroun,facile,Quel est l'ingredient principal utilise pour preparer les beignets haricots bouillie ?,les feuilles d'eru et le waterleaf,"la farine de ble, les haricots et le mais",le pain garni de spaghetti et d'omelette,le poulet grille a l'huile de palme,B,100,20,"Les beignets haricots bouillie se prepare avec la farine de ble, les haricots et le mais.","cameroun,gastronomie"
cmr-0101,Cameroun,cameroun,challenge,En quelle annee la presqu'ile de Bakassi a-t-elle ete officiellement retrocedee au Cameroun ?,1998,2012,2008,2002,C,300,30,La retrocession effective a eu lieu le 14 aout 2008.,"cameroun,geographie"
cmr-0102,Cameroun,cameroun,challenge,Quelle est la duree du mandat presidentiel au Cameroun depuis la revision de 2008 ?,Cinq ans non renouvelable,Quatre ans,Six ans,Sept ans renouvelable,D,300,30,Le mandat de sept ans est renouvelable depuis 2008.,"cameroun,institutions,symboles"
cmr-0103,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Mefou-et-Afamba ?,Tibati,Guider,Mfou,Bafang,C,300,30,"Mfou est le chef-lieu du Mefou-et-Afamba, dans la region : Centre.","cameroun,geographie,departements"
cmr-0104,Cameroun,cameroun,moyen,Quelle est l'altitude approximative du mont Cameroun ?,Environ 4 095 metres,Environ 2 100 metres,Environ 5 800 metres,Environ 3 000 metres,A,200,25,C'est le plus haut sommet d'Afrique de l'Ouest et centrale.,"cameroun,geographie"
cmr-0105,Cameroun,cameroun,moyen,Le departement du Dja-et-Lobo appartient a quelle region ?,Sud-Ouest,Littoral,Sud,Nord-Ouest,C,200,25,Le Dja-et-Lobo se situe dans la region : Sud.,"cameroun,geographie,departements"
cmr-0106,Cameroun,cameroun,moyen,De quoi parle principalement le roman Les Impatientes de Djaili Amadou Amal ?,De la condition des femmes dans le Nord du Cameroun,De la vie des pecheurs de Kribi,De la colonisation allemande,De l'histoire du football camerounais,A,200,25,Le roman denonce les mariages forces et la patience imposee aux femmes.,"cameroun,personnalites,sport,culture"
cmr-0107,Cameroun,cameroun,moyen,Combien de pays partagent une frontiere terrestre avec le Cameroun ?,5,6,4,8,B,200,25,"Nigeria, Tchad, Republique centrafricaine, Congo, Gabon et Guinee equatoriale.","cameroun,geographie"
