id,category,category_slug,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,points,time_limit,explanation,tags
mix-0011,Challenge Mixte,mixte,facile,Quel est l'interet de s'entourer d'un mentor ?,Obtenir un financement automatique,Eviter de travailler,Deleguer toutes ses decisions,Beneficier d'une experience et d'un regard exterieur,D,100,20,Le mentor accelere l'apprentissage.,"mixte,entrepreneuriat,posture"
mix-0012,Challenge Mixte,mixte,facile,"Dans le monde numerique, que designe un moteur de traduction ?",Le document decrivant precisement les fonctions attendues d'un outil,Une mesure chiffree du fonctionnement d'un service en ligne,Une innovation qui bouleverse un marche et remplace les solutions existantes,Un systeme qui convertit automatiquement un texte d'une langue a une autre,D,100,20,Un moteur de traduction : un systeme qui convertit automatiquement un texte d'une langue a une autre.,"mixte,innovation,glossaire"
mix-0013,Challenge Mixte,mixte,facile,Quelle est l'activite principale de Jumia ?,L'intelligence artificielle appliquee aux entreprises,La vente en ligne de produits varies,Le paiement et le transfert par telephone,Le developpement de jeux video,B,100,20,Jumia : la vente en ligne de produits varies (le Nigeria).,"mixte,innovation,afrique"
mix-0014,Challenge Mixte,mixte,moyen,Quel diplome sanctionne le cycle secondaire anglophone au Cameroun ?,Le GCE Advanced Level,Le baccalaureat,Le BEPC,Le CEP,A,200,25,Le General Certificate of Education est delivre par le GCE Board.,"mixte,cameroun,culture"
mix-0015,Challenge Mixte,mixte,moyen,Quel est le principal benefice de cette demarche : savoir quels produits se vendent le mieux chaque semaine ?,Produire rapidement un brouillon a corriger ensuite,Donner acces a l'information sans vendeur disponible,Decider a partir de chiffres reels,Retrouver ses donnees en cas d'incident,C,200,25,Le gain principal : decider a partir de chiffres reels.,"mixte,innovation,usages"
mix-0016,Challenge Mixte,mixte,challenge,Quelle personnalite camerounaise est connue pour avoir marque des buts decisifs avec les Lionnes Indomptables en Coupe du monde ?,Ajara Nchout,Ekambi Brillant,Manu Dibango,Salatiel,A,300,30,Il s'agit de Ajara Nchout.,"mixte,cameroun,personnalites"
mix-0017,Challenge Mixte,mixte,moyen,"En entrepreneuriat, que designe la levee de fonds ?",Le developpement de l'activite au-dela des frontieres nationales,Une depense durable destinee a produire des revenus futurs,L'operation par laquelle une entreprise obtient des capitaux d'investisseurs,Un document qui annule ou reduit une facture deja emise,C,200,25,La levee de fonds : l'operation par laquelle une entreprise obtient des capitaux d'investisseurs.,"mixte,entrepreneuriat,glossaire"
mix-0018,Challenge Mixte,mixte,moyen,"Dans le monde numerique, que designe un systeme d'exploitation ?",Le retour d'une somme au client via un canal numerique,Les actions visant a permettre a tous d'utiliser les outils numeriques,Le logiciel de base qui fait fonctionner un ordinateur ou un telephone,La surveillance organisee des evolutions techniques d'un secteur,C,200,25,Un systeme d'exploitation : le logiciel de base qui fait fonctionner un ordinateur ou un telephone.,"mixte,innovation,glossaire"
mix-0019,Challenge Mixte,mixte,moyen,Quelle preparation est indispensable avant une negociation importante ?,Ignorer ses couts,Connaitre son prix plancher et ses marges de manoeuvre,Improviser totalement,Fixer un prix au hasard,B,200,25,"Sans prix plancher, on cede trop.","mixte,entrepreneuriat,vente"
mix-0020,Challenge Mixte,mixte,challenge,Qui est a l'origine de cette avancee : l'expression intelligence artificielle ?,Yann LeCun,Vint Cerf,Steve Wozniak,John McCarthy,D,300,30,Il s'agit de John McCarthy.,"mixte,innovation,histoire"
mix-0021,Challenge Mixte,mixte,moyen,Pour quelle contribution Karl Benz est-il ou est-elle connu(e) ?,la premiere automobile a moteur a essence,la premiere tablette concue en Afrique centrale,la telegraphie sans fil,les protocoles de communication d'internet,A,200,25,Karl Benz est associe(e) a la premiere automobile a moteur a essence.,"mixte,innovation,histoire"
mix-0022,Challenge Mixte,mixte,moyen,Comment qualifie-t-on cette charge : la commission versee au vendeur par vente ?,Un produit d'exploitation,Une charge fixe,Une charge variable,Un actif immobilise,C,200,25,La commission versee au vendeur par vente est une charge variable.,"mixte,entrepreneuriat,couts"
mix-0023,Challenge Mixte,mixte,facile,Quel est l'interet de faire partie d'un reseau d'entrepreneurs ?,"Echanger des informations, des opportunites et des solutions",Copier les autres sans reflechir,Eviter la concurrence par la loi,Obtenir des clients garantis,A,100,20,Le reseau est une source d'opportunites et d'entraide.,"mixte,entrepreneuriat,posture"
mix-0024,Challenge Mixte,mixte,facile,La ville de Bertoua est le chef-lieu de quelle region du Cameroun ?,Sud-Ouest,Est,Nord,Nord-Ouest,B,100,20,Bertoua est le chef-lieu de la region : Est.,"mixte,cameroun,geographie,regions"
mix-0025,Challenge Mixte,mixte,facile,Quel est le principal benefice de cette demarche : envoyer un rappel de rendez-vous aux clients ?,Suivre chaque vente et fiabiliser les comptes,Relancer les clients endormis au bon moment,Reduire les rendez-vous manques,Mieux dimensionner les achats et les stocks,C,100,20,Le gain principal : reduire les rendez-vous manques.,"mixte,innovation,usages"
mix-0026,Challenge Mixte,mixte,moyen,Quelle forme juridique est la plus utilisee par les PME camerounaises ?,Le GIE international,La SA cotee,La societe anonyme europeenne,La SARL (Societe a Responsabilite Limitee),D,200,25,La SARL est simple a creer et limite la responsabilite.,"mixte,cameroun,economie"
mix-0027,Challenge Mixte,mixte,moyen,"Dans le langage populaire camerounais, que designe un bayam-sellam ?","S'etonner, etre surpris","Un revendeur, souvent une commercante de vivres",Quelque chose d'obtenu gratuitement,Un moto-taxi,B,200,25,"Un bayam-sellam : un revendeur, souvent une commercante de vivres.","mixte,cameroun,culture,expressions"
mix-0028,Challenge Mixte,mixte,challenge,Dans quelle partie du Cameroun le miel blanc d'Oku est-il ou est-elle principalement cultive(e) ?,L'Adamaoua,L'Ouest et le Nord-Ouest,Le Grand Nord,Le Littoral et le Sud-Ouest,B,300,30,Pour le miel blanc d'Oku : il beneficie d'une indication geographique protegee.,"mixte,cameroun,economie,agriculture"
mix-0029,Challenge Mixte,mixte,challenge,Une entreprise realise 2 500 000 FCFA de chiffre d'affaires et 500 000 FCFA de benefice. Quelle est sa rentabilite nette ?,25 %,40 %,20 %,80 %,C,300,30,Rentabilite = benefice / CA x 100 = 20 %.,"mixte,entrepreneuriat,calcul,rentabilite"
mix-0030,Challenge Mixte,mixte,facile,"En entrepreneuriat, que designe un entrepreneur ?",Le decoupage du marche en groupes de clients homogenes,Une personne qui cree et dirige une activite economique en prenant des risques,Un particulier qui investit son propre argent dans une jeune entreprise,L'arret d'un projet qui n'a pas trouve son marche ou sa rentabilite,B,100,20,Un entrepreneur : une personne qui cree et dirige une activite economique en prenant des risques.,"mixte,entrepreneuriat,glossaire"
mix-0031,Challenge Mixte,mixte,moyen,"En entrepreneuriat, que designe le crowdfunding ?",La collecte de fonds aupres d'un grand nombre de personnes via une plateforme,Le document qui decrit precisement ce qui est attendu d'un projet,Un element favorable de l'environnement que l'entreprise peut saisir,Une proposition chiffree adressee au client avant la commande,A,200,25,Le crowdfunding : la collecte de fonds aupres d'un grand nombre de personnes via une plateforme.,"mixte,entrepreneuriat,glossaire"
mix-0032,Challenge Mixte,mixte,facile,Que signifie fideliser un client ?,Faire en sorte qu'il revienne acheter regulierement,Ne plus jamais le contacter,Le forcer a signer un contrat a vie,Lui interdire d'aller ailleurs,A,100,20,La fidelisation repose sur la satisfaction.,"mixte,entrepreneuriat,marketing"
mix-0033,Challenge Mixte,mixte,moyen,Combien de blocs compte le Business Model Canvas ?,Six,Douze,Neuf,Quatre,C,200,25,Le canvas d'Osterwalder comporte neuf blocs.,"mixte,entrepreneuriat,methodes"
mix-0034,Challenge Mixte,mixte,moyen,Dans quelle region du Cameroun se trouve la ville de Kumba ?,Sud-Ouest,Est,Nord,Extreme-Nord,A,200,25,Kumba est situee dans la region : Sud-Ouest.,"mixte,cameroun,geographie,villes"
mix-0035,Challenge Mixte,mixte,moyen,"En entrepreneuriat, que designe une niche de marche ?",Le niveau de ventes a partir duquel l'entreprise ne perd plus d'argent,L'organisation des priorites pour utiliser efficacement ses journees,Un accord durable entre entreprises pour atteindre un objectif commun,Un segment etroit et specialise peu couvert par les concurrents,D,200,25,Une niche de marche : un segment etroit et specialise peu couvert par les concurrents.,"mixte,entrepreneuriat,glossaire"
mix-0036,Challenge Mixte,mixte,moyen,"En entrepreneuriat, que designe un prototype ?",Un outil de gestion de la relation client,Une offre temporaire destinee a stimuler les ventes,Une maquette fonctionnelle realisee avant la production en serie,La prise en compte des enjeux sociaux et environnementaux par l'entreprise,C,200,25,Un prototype : une maquette fonctionnelle realisee avant la production en serie.,"mixte,entrepreneuriat,glossaire"
mix-0037,Challenge Mixte,mixte,moyen,Dans quelle region du Cameroun se trouve la ville de Idenau ?,Adamaoua,Sud-Ouest,Littoral,Ouest,B,200,25,Idenau est situee dans la region : Sud-Ouest.,"mixte,cameroun,geographie,villes"
mix-0038,Challenge Mixte,mixte,challenge,Comment appelle-t-on ceci : La production obtenue rapportee au temps de travail utilise ?,un delai de paiement,l'amortissement,la productivite du travail,un avantage concurrentiel,C,300,30,Il s'agit de la productivite du travail.,"mixte,entrepreneuriat,glossaire"
mix-0039,Challenge Mixte,mixte,moyen,Quel indicatif telephonique international correspond au Cameroun ?,+229,+241,+225,+237,D,200,25,L'indicatif du Cameroun est le +237.,"mixte,cameroun,divers"
mix-0040,Challenge Mixte,mixte,facile,Quelle precaution prendre avec les mots de passe professionnels ?,Les ecrire sur la vitrine,Les partager publiquement,Utiliser des mots de passe forts et differents pour chaque service,Utiliser le meme partout,C,100,20,La securite des acces protege l'activite.,"mixte,entrepreneuriat,digital"
mix-0041,Challenge Mixte,mixte,facile,De quel pays Walt Disney est-il ou est-elle originaire ?,le Cameroun,le Congo,les Etats-Unis,la Chine,C,100,20,Walt Disney est originaire de ce pays : les Etats-Unis.,"mixte,entrepreneuriat,figures"
mix-0042,Challenge Mixte,mixte,moyen,Quelle entreprise camerounaise correspond a cette description : un reseau camerounais de transfert d'argent ?,la SEMC,Express Union,la CDC,la SODECOTON,B,200,25,Il s'agit de Express Union.,"mixte,cameroun,economie,entreprises"
mix-0043,Challenge Mixte,mixte,moyen,Une boutique realise 1 200 000 FCFA de ventes aupres de 300 clients dans la semaine. Quel est le panier moyen ?,8 000 FCFA,2 000 FCFA,4 000 FCFA,1 200 000 FCFA,C,200,25,Panier moyen = CA / nombre de clients = 1 200 000 FCFA / 300 = 4 000 FCFA.,"mixte,entrepreneuriat,calcul,indicateurs"
mix-0044,Challenge Mixte,mixte,facile,Dans quel domaine Alexander Graham Bell a-t-il ou a-t-elle laisse sa marque ?,Les telecommunications,La programmation,L'electronique,Internet,A,100,20,Alexander Graham Bell a marque ce domaine : Les telecommunications.,"mixte,innovation,histoire"
mix-0045,Challenge Mixte,mixte,moyen,Dans quel domaine Ni John Fru Ndi s'est-il ou s'est-elle illustre(e) ?,Le football,L'athletisme,La musique,La politique,D,200,25,Ni John Fru Ndi est connu(e) pour avoir fonde le Social Democratic Front a Bamenda en 1990.,"mixte,cameroun,personnalites"
mix-0046,Challenge Mixte,mixte,moyen,Comment appelle-t-on ceci : Le contrat de location d'un local ?,un bail,la dilution,une licence,la formalisation,A,200,25,Il s'agit d'un bail.,"mixte,entrepreneuriat,glossaire"
mix-0047,Challenge Mixte,mixte,moyen,Que designe la CONAC au Cameroun ?,La Commission nationale anti-corruption,La Caisse nationale de credit,Le Conseil national du commerce,La Commission nationale des concours,A,200,25,La CONAC lutte contre la corruption.,"mixte,cameroun,institutions,symboles"
mix-0048,Challenge Mixte,mixte,facile,Quelle attitude adopter face a un employe qui commet une erreur honnete ?,L'humilier devant l'equipe,Le licencier immediatement,Ignorer completement l'erreur,"Corriger, expliquer et transformer l'erreur en apprentissage",D,100,20,Le droit a l'erreur encadre developpe les competences.,"mixte,entrepreneuriat,gestion"
mix-0049,Challenge Mixte,mixte,moyen,De quel pays Daniel Ek est-il ou est-elle originaire ?,la Suede,le Nigeria,le Soudan,le Ghana,A,200,25,Daniel Ek est originaire de ce pays : la Suede.,"mixte,entrepreneuriat,figures"
mix-0050,Challenge Mixte,mixte,moyen,Que signifie le sigle SMIG dans le monde de l'entreprise ?,Optimisation pour les moteurs de recherche,Salaire Minimum Interprofessionnel Garanti,Vente d'entreprise a entreprise,"Chambre de Commerce, d'Industrie, des Mines et de l'Artisanat",B,200,25,SMIG : Salaire Minimum Interprofessionnel Garanti.,"mixte,entrepreneuriat,sigles"
mix-0051,Challenge Mixte,mixte,moyen,Quel outil numerique permet de : Mesurer la frequentation d'un site web ?,un outil d'analyse d'audience,un logiciel de presentation,un outil no-code,une plateforme de formation en ligne,A,200,25,Il s'agit d'un outil d'analyse d'audience.,"mixte,innovation,outils"
mix-0052,Challenge Mixte,mixte,moyen,Quel terme correspond a cette definition : L'usage de l'intelligence artificielle dans le respect des personnes et de la loi ?,un biais algorithmique,les donnees personnelles,l'IA responsable,une tablette,C,200,25,Il s'agit de l'IA responsable.,"mixte,innovation,glossaire"
mix-0053,Challenge Mixte,mixte,moyen,Quelle communaute economique facilite les echanges entre le Cameroun et ses voisins d'Afrique centrale ?,L'ASEAN,Le Mercosur,La CEMAC,La CEDEAO,C,200,25,La CEMAC constitue un marche regional de plus de 50 millions d'habitants.,"mixte,entrepreneuriat,cameroun"
mix-0054,Challenge Mixte,mixte,moyen,Quelle entreprise camerounaise correspond a cette description : le fabricant de chocolats et confiseries ?,les Brasseries du Cameroun,Chococam,CAMRAIL,la BICEC,B,200,25,Il s'agit de Chococam.,"mixte,cameroun,economie,entreprises"
mix-0055,Challenge Mixte,mixte,challenge,Quelle affirmation est exacte a propos de l'ananas au Cameroun ?,"En resume, les hautes terres offrent un climat favorable","En resume, il est cultive dans le Moungo","En resume, il beneficie d'une indication geographique protegee","En resume, il fournit le caoutchouc naturel",B,300,30,Pour l'ananas : il est cultive dans le Moungo.,"mixte,cameroun,economie,agriculture"
mix-0056,Challenge Mixte,mixte,moyen,Dans quel domaine Sam Fan Thomas s'est-il ou s'est-elle illustre(e) ?,La lutte contre la colonisation,La musique,La politique,Le cinema,B,200,25,Sam Fan Thomas est connu(e) pour avoir popularise African Typic Collection.,"mixte,cameroun,personnalites"
mix-0057,Challenge Mixte,mixte,challenge,Quel systeme comptable les entreprises camerounaises appliquent-elles ?,Le SYSCOHADA revise,Les IFRS obligatoires pour toutes,Le plan comptable francais 1982,Le plan comptable americain,A,300,30,Le SYSCOHADA revise est en vigueur depuis 2018.,"mixte,cameroun,economie"
mix-0058,Challenge Mixte,mixte,challenge,Quelle bourse des valeurs mobilieres est basee a Douala et integree au marche regional ?,La Bourse des Valeurs Mobilieres de l'Afrique Centrale (BVMAC),La Bourse de Nairobi,La Bourse de Lagos,La BRVM,A,300,30,"La BVMAC, unifiee en 2019, a son siege a Douala.","mixte,cameroun,economie"
mix-0059,Challenge Mixte,mixte,facile,Le Cameroun partage-t-il une frontiere terrestre avec le Tchad ?,"Non, il en est separe par un autre pays","Non, ce pays n'existe pas en Afrique",Oui,"Non, il en est separe par un ocean",C,100,20,Le Tchad est bien un voisin du Cameroun (au nord-est).,"mixte,cameroun,geographie,frontieres"
mix-0060,Challenge Mixte,mixte,moyen,Vous voulez tester la demande pour un service de livraison. Quel indicateur suivre en priorite ?,Le nombre de likes sur une photo,La couleur de votre moto,Le nombre de commandes reellement passees,Le nombre de reunions internes,C,200,25,Seules les commandes reelles prouvent la demande.,"mixte,entrepreneuriat,mise-en-situation"
mix-0061,Challenge Mixte,mixte,moyen,Dans quelle region du Cameroun se trouve la ville de Lagdo ?,Littoral,Adamaoua,Extreme-Nord,Nord,D,200,25,Lagdo est situee dans la region : Nord.,"mixte,cameroun,geographie,villes"
mix-0062,Challenge Mixte,mixte,moyen,Le departement du Djerem appartient a quelle region ?,Nord,Sud-Ouest,Littoral,Adamaoua,D,200,25,Le Djerem se situe dans la region : Adamaoua.,"mixte,cameroun,geographie,departements"
mix-0063,Challenge Mixte,mixte,moyen,A quelle categorie d'outils appartient un logiciel de comptabilite ?,L'organisation,La gestion,L'intelligence artificielle,La numerisation,B,200,25,Un logiciel de comptabilite appartient a cette categorie : la gestion.,"mixte,innovation,outils"
mix-0064,Challenge Mixte,mixte,moyen,Quelle organisation regionale a son secretariat permanent a Yaounde et harmonise le droit des affaires ?,La CEDEAO,La SADC,L'UEMOA,L'OHADA,D,200,25,Le Secretariat permanent de l'OHADA est bien base a Yaounde.,"mixte,cameroun,institutions,symboles"
mix-0065,Challenge Mixte,mixte,facile,Que designe la marque camerounaise Mambo ?,Un service de telecommunication,Un service de mobile money,Un chocolat a tartiner,Une pate a tartiner,C,100,20,Mambo : il est produit par Chococam.,"mixte,cameroun,marques"
mix-0066,Challenge Mixte,mixte,moyen,Le departement du Mifi appartient a quelle region ?,Sud,Est,Ouest,Adamaoua,C,200,25,Le Mifi se situe dans la region : Ouest.,"mixte,cameroun,geographie,departements"
mix-0067,Challenge Mixte,mixte,facile,Comment appelle-t-on ceci : Un developpement qui repond aux besoins presents sans compromettre l'avenir ?,la segmentation,un audit,un plan B,le developpement durable,D,100,20,Il s'agit du developpement durable.,"mixte,entrepreneuriat,glossaire"
mix-0068,Challenge Mixte,mixte,facile,De quelle region du Cameroun le poulet DG est-il originaire ou le plus consomme ?,L'Ouest,Le Littoral,L'Extreme-Nord,Le Centre,B,100,20,Le poulet DG est surtout associe a cette region.,"mixte,cameroun,gastronomie"
mix-0069,Challenge Mixte,mixte,moyen,Comment appelle-t-on ceci : La presentation visuelle d'un projet destinee aux investisseurs ?,un pitch deck,la formalisation,un avoir,un local commercial,A,200,25,Il s'agit d'un pitch deck.,"mixte,entrepreneuriat,glossaire"
mix-0070,Challenge Mixte,mixte,moyen,Quelle est la premiere cause d'echec des jeunes entreprises ?,Un logo mal dessine,Un local trop petit,Un nom d'entreprise trop court,"Un marche insuffisant ou mal compris, souvent double de problemes de tresorerie",D,200,25,L'absence de demande reelle et les tensions de tresorerie dominent les causes d'echec.,"mixte,entrepreneuriat,gestion"
mix-0071,Challenge Mixte,mixte,moyen,Un client vous demande un produit moins cher que votre gamme. Quelle reponse est la plus commerciale ?,Lui proposer une alternative adaptee a son budget dans votre offre,Lui dire qu'il n'a pas les moyens,Lui vendre a perte,L'envoyer chez un concurrent sans rien proposer,A,200,25,Une gamme d'entree retient le client.,"mixte,entrepreneuriat,mise-en-situation"
mix-0072,Challenge Mixte,mixte,challenge,"Un produit est achete 1 500 FCFA et vendu 2 000 FCFA. Quel est le taux de marge, calcule sur le prix de vente ?",25 %,35 %,75 %,33.3 %,A,300,30,Taux de marge = (PV - PA) / PV x 100 = 25 %.,"mixte,entrepreneuriat,calcul,marge"
mix-0073,Challenge Mixte,mixte,facile,"En entrepreneuriat, que designe un mentor ?",L'ensemble des elements qui permettent d'exploiter une clientele,Un entrepreneur experimente qui conseille un porteur de projet,Un compte dedie a l'activite de l'entreprise,La surveillance organisee de ce que font les concurrents,B,100,20,Un mentor : un entrepreneur experimente qui conseille un porteur de projet.,"mixte,entrepreneuriat,glossaire"
mix-0074,Challenge Mixte,mixte,moyen,Un article coute 80 000 FCFA. Le vendeur accorde une remise de 15 %. Quel est le prix a payer ?,68 000 FCFA,80 000 FCFA,79 985 FCFA,12 000 FCFA,A,200,25,Prix remise = 80 000 FCFA x (1 - 15/100) = 68 000 FCFA.,"mixte,entrepreneuriat,calcul,prix"
mix-0075,Challenge Mixte,mixte,facile,Quel terme correspond a cette definition : Le harcelement d'une personne au moyen des outils numeriques ?,une arnaque en ligne,un contrat de maintenance,un site frauduleux,le cyberharcelement,D,100,20,Il s'agit du cyberharcelement.,"mixte,innovation,glossaire"
mix-0076,Challenge Mixte,mixte,moyen,Quel est le nom du domaine internet national du Cameroun ?,.ca,.cm,.cd,.cr,B,200,25,Le domaine de premier niveau camerounais est le .cm.,"mixte,cameroun,divers"
mix-0077,Challenge Mixte,mixte,moyen,Quelle entreprise Rebecca Enonchong a-t-il ou a-t-elle fondee ou dirigee ?,AppsTech,Berkshire Hathaway,Himore Medical,le groupe Dangote,A,200,25,"Rebecca Enonchong : AppsTech - secteur les logiciels d'entreprise, le Cameroun.","mixte,entrepreneuriat,figures"
mix-0078,Challenge Mixte,mixte,moyen,Comment appelle-t-on ceci : Un contrat qui couvre les risques lies a l'activite ?,une assurance professionnelle,un partenaire cle,un risque,la propriete intellectuelle,A,200,25,Il s'agit d'une assurance professionnelle.,"mixte,entrepreneuriat,glossaire"
mix-0079,Challenge Mixte,mixte,facile,Quel usage du code QR se developpe fortement dans le commerce africain ?,Le stockage d'eau,Le paiement et l'acces rapide a une information produit,Le remplacement des routes,La production d'electricite,B,100,20,Le QR code sert au paiement et a l'information.,"mixte,innovation,afrique"
mix-0080,Challenge Mixte,mixte,facile,Une commercante achete un article a 900 FCFA et le revend a 1 500 FCFA. Quelle est sa marge sur une unite vendue ?,2 400 FCFA,600 FCFA,900 FCFA,300 FCFA,B,100,20,Marge = prix de vente - prix d'achat = 1 500 FCFA - 900 FCFA = 600 FCFA.,"mixte,entrepreneuriat,calcul,marge"
mix-0081,Challenge Mixte,mixte,facile,"Dans le monde numerique, que designe un commentaire ?",L'image d'une personne ou d'une entreprise telle qu'elle apparait sur internet,Le fait de confier a une machine une tache repetitive realisee auparavant a la main,Une reaction ecrite laissee sous une publication,Un paiement recurrent qui donne acces a un service,C,100,20,Un commentaire : une reaction ecrite laissee sous une publication.,"mixte,innovation,glossaire"
mix-0082,Challenge Mixte,mixte,moyen,Comment appelle-t-on ceci : La representation de l'organisation et des liens hierarchiques ?,un influenceur,la valorisation,un GIE,un organigramme,D,200,25,Il s'agit d'un organigramme.,"mixte,entrepreneuriat,glossaire"
mix-0083,Challenge Mixte,mixte,challenge,"En entrepreneuriat, que designe le taux de marge ?",Le changement de direction strategique apres avoir teste le marche,L'espace physique ou l'entreprise recoit ses clients,"Le rapport entre la marge et le prix de vente, exprime en pourcentage",Un document qui annule ou reduit une facture deja emise,C,300,30,"Le taux de marge : le rapport entre la marge et le prix de vente, exprime en pourcentage.","mixte,entrepreneuriat,glossaire"
mix-0084,Challenge Mixte,mixte,moyen,Quel est le principal benefice de cette demarche : identifier les clients qui n'ont pas commande depuis trois mois ?,Suivre le stock en temps reel,Fiabiliser les chiffres transmis aux clients,Relancer les clients endormis au bon moment,Suivre chaque vente et fiabiliser les comptes,C,200,25,Le gain principal : relancer les clients endormis au bon moment.,"mixte,innovation,usages"
mix-0085,Challenge Mixte,mixte,facile,Pourquoi faut-il rediger une consigne claire quand on utilise une IA generative ?,Parce que l'IA refuse les phrases courtes,Parce que la loi impose un format,Parce que la qualite de la reponse depend directement de la precision de la demande,Parce que l'IA ne lit que les majuscules,C,100,20,Un prompt precis donne un resultat exploitable.,"mixte,innovation,comprehension"
mix-0086,Challenge Mixte,mixte,challenge,Vous constatez que vos couts fixes sont tres eleves et vos ventes irregulieres. Quelle piste explorer ?,Ignorer la structure de couts,Supprimer toute activite commerciale,Augmenter encore les couts fixes,Transformer une partie des couts fixes en couts variables,D,300,30,Des couts variables amortissent mieux les variations d'activite.,"mixte,entrepreneuriat,mise-en-situation"
mix-0087,Challenge Mixte,mixte,moyen,Pourquoi de nombreuses innovations echouent-elles malgre une bonne technologie ?,Parce qu'elles ne repondent pas a un besoin reel ou ne sont pas adoptees,Parce que la technologie est toujours mauvaise,Parce que les clients sont trop nombreux,Parce que le prix est toujours trop bas,A,200,25,L'adoption par les utilisateurs decide du succes.,"mixte,innovation,comprehension"
mix-0088,Challenge Mixte,mixte,challenge,Dans quel domaine Rene Philombe s'est-il ou s'est-elle illustre(e) ?,La technologie,Les affaires et l'entrepreneuriat,Le football,La litterature,D,300,30,Rene Philombe est connu(e) pour avoir ecrit le poeme L'homme qui te ressemble.,"mixte,cameroun,personnalites"
mix-0089,Challenge Mixte,mixte,moyen,Dans quel domaine Rigobert Song s'est-il ou s'est-elle illustre(e) ?,La musique,La lutte contre la colonisation,La mode,Le football,D,200,25,Rigobert Song est connu(e) pour avoir ete capitaine des Lions Indomptables puis leur selectionneur.,"mixte,cameroun,personnalites"
mix-0090,Challenge Mixte,mixte,challenge,Une entreprise realise 620 000 FCFA de chiffre d'affaires et 93 000 FCFA de benefice. Quelle est sa rentabilite nette ?,30 %,17.6 %,15 %,7.5 %,C,300,30,Rentabilite = benefice / CA x 100 = 15 %.,"mixte,entrepreneuriat,calcul,rentabilite"
mix-0091,Challenge Mixte,mixte,moyen,"Dans le langage populaire camerounais, que designe un clando ?",Un point de vente de credit telephonique dans la rue,Payer ou glisser discretement de l'argent,"Un revendeur, souvent une commercante de vivres",Un taxi ou vehicule de transport non officiel,D,200,25,Un clando : un taxi ou vehicule de transport non officiel.,"mixte,cameroun,culture,expressions"
